lang,QID,url,lang_href,policy_name_en
arc,Q4039395,https://arc.wikipedia.org/wiki/%DC%98%DC%9D%DC%A9%DC%9D%DC%A6%DC%95%DC%9D%DC%90:%DC%A1%DC%95%DC%92%DC%AA%DC%A2%DC%90,arc,Project:Administrators
ar,Q4039395,https://ar.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7:%D8%A5%D8%AF%D8%A7%D8%B1%D9%8A%D9%88%D9%86,ar,Project:Administrators
ary,Q4039395,https://ary.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D9%BE%D9%8A%D8%AF%D9%8A%D8%A7:%D8%A5%D9%85%D8%BA%D8%A7%D8%B1%D9%86,ary,Project:Administrators
arz,Q4039395,https://arz.wikipedia.org/wiki/%D9%88%D9%8A%D9%83%D9%8A%D8%A8%D9%8A%D8%AF%D9%8A%D8%A7:%D8%A7%D8%AF%D8%A7%D8%B1%D9%8A%D9%8A%D9%86,arz,Project:Administrators
ast,Q4039395,https://ast.wikipedia.org/wiki/Wikipedia:Alministradores,ast,Project:Administrators
as,Q4039395,https://as.wikipedia.org/wiki/%E0%A7%B1%E0%A6%BF%E0%A6%95%E0%A6%BF%E0%A6%AA%E0%A6%BF%E0%A6%A1%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE:%E0%A6%AA%E0%A7%8D%E0%A7%B0%E0%A6%B6%E0%A6%BE%E0%A6%B8%E0%A6%95%E0%A6%AC%E0%A7%83%E0%A6%A8%E0%A7%8D%E0%A6%A6,as,Project:Administrators
atj,Q4039395,https://atj.wikipedia.org/wiki/Wikipetcia:Ke_nanakatisitc,atj,Project:Administrators
av,Q4039395,https://av.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F:%D0%90%D0%B4%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%BE%D1%80%D0%B0%D0%BB,av,Project:Administrators
ay,Q4039395,https://ay.wikipedia.org/wiki/Wikipidiya:Bibliotecarios,ay,Project:Administrators
azb,Q4039395,https://azb.wikipedia.org/wiki/%D9%88%DB%8C%DA%A9%DB%8C%E2%80%8C%D9%BE%D8%AF%DB%8C%D8%A7:%D8%A7%DB%8C%D8%AF%D8%A7%D8%B1%D9%87%E2%80%8C%DA%86%DB%8C%D9%84%D8%B1,azb,Project:Administrators
az,Q4039395,https://az.wikipedia.org/wiki/Vikipediya:%C4%B0nzibat%C3%A7%C4%B1lar,az,Project:Administrators
bar,Q4039395,https://bar.wikipedia.org/wiki/Wikipedia:Administratorn,bar,Project:Administrators
bat-smg,Q4039395,https://bat-smg.wikipedia.org/wiki/Vikiped%C4%97j%C4%97:Adm%C4%97n%C4%97stravims,sgs,Project:Administrators
ba,Q4039395,https://ba.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F:%D0%A5%D0%B0%D0%BA%D0%B8%D0%BC%D0%B4%D0%B0%D1%80,ba,Project:Administrators
be-tarask,Q4039395,https://be-tarask.wikipedia.org/wiki/%D0%92%D1%96%D0%BA%D1%96%D0%BF%D1%8D%D0%B4%D1%8B%D1%8F:%D0%90%D0%B4%D0%BC%D1%96%D0%BD%D1%96%D1%81%D1%82%D1%80%D0%B0%D1%86%D1%8B%D1%8F,be-tarask,Project:Administrators
be,Q4039395,https://be.wikipedia.org/wiki/%D0%92%D1%96%D0%BA%D1%96%D0%BF%D0%B5%D0%B4%D1%8B%D1%8F:%D0%90%D0%B4%D0%BC%D1%96%D0%BD%D1%96%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%B0%D1%80%D1%8B,be,Project:Administrators
bew,Q4039395,https://bew.wikipedia.org/wiki/Wikip%C3%A9di:Merbot,bew,Project:Administrators
bg,Q4039395,https://bg.wikipedia.org/wiki/%D0%A3%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F:%D0%90%D0%B4%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%BE%D1%80%D0%B8,bg,Project:Administrators
bh,Q4039395,https://bh.wikipedia.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%95%E0%A4%BF%E0%A4%AA%E0%A5%80%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A4%BE:%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%AC%E0%A4%82%E0%A4%A7%E0%A4%95,bh,Project:Administrators
bjn,Q4039395,https://bjn.wikipedia.org/wiki/Wikipidia:Pambakal,bjn,Project:Administrators
blk,Q4039395,https://blk.wikipedia.org/wiki/%E1%80%9D%E1%80%AE%E1%80%81%E1%80%AE%E1%80%95%E1%80%AE%E1%80%B8%E1%80%92%E1%80%AE%E1%80%B8%E1%80%9A%E1%80%AC%E1%80%B8:Administrators,blk,Project:Administrators
bm,Q4039395,https://bm.wikipedia.org/wiki/Wikipedia:Administrateurs,bm,Project:Administrators
bn,Q4039395,https://bn.wikipedia.org/wiki/%E0%A6%89%E0%A6%87%E0%A6%95%E0%A6%BF%E0%A6%AA%E0%A6%BF%E0%A6%A1%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE:%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%B6%E0%A6%BE%E0%A6%B8%E0%A6%95,bn,Project:Administrators
bo,Q4039395,https://bo.wikipedia.org/wiki/Wikipedia:Administrators,bo,Project:Administrators
bpy,Q4039395,https://bpy.wikipedia.org/wiki/%E0%A6%89%E0%A6%87%E0%A6%95%E0%A6%BF%E0%A6%AA%E0%A6%BF%E0%A6%A1%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE:%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%B6%E0%A6%BE%E0%A6%B8%E0%A6%95,bpy,Project:Administrators
br,Q4039395,https://br.wikipedia.org/wiki/Wikipedia:Merourien,br,Project:Administrators
bs,Q4039395,https://bs.wikipedia.org/wiki/Wikipedia:Administratori,bs,Project:Administrators
bug,Q4039395,https://bug.wikipedia.org/wiki/Wikipedia:%E1%A8%84%E1%A8%82%E1%A8%89%E1%A8%99%E1%A8%91%E1%A8%99%E1%A8%82,bug,Project:Administrators
bxr,Q4039395,https://bxr.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D1%8D%D0%B4%D0%B8:%D0%90%D0%B4%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%BE%D1%80%D0%BD%D1%83%D1%83%D0%B4,bxr,Project:Administrators
ca,Q4039395,https://ca.wikipedia.org/wiki/Viquip%C3%A8dia:Administradors,ca,Project:Administrators
cbk-zam,Q4039395,https://cbk-zam.wikipedia.org/wiki/Wikipedia:Administrators,cbk,Project:Administrators
cdo,Q4039395,https://cdo.wikipedia.org/wiki/Wikipedia:%E8%A1%8C%E6%94%BF%E4%BA%BA%E5%93%A1,cdo,Project:Administrators
ceb,Q4039395,https://ceb.wikipedia.org/wiki/Wikipedia:Tigdumala,ceb,Project:Administrators
ce,Q4039395,https://ce.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8:%D0%90%D0%B4%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%BE%D1%80%D1%88,ce,Project:Administrators
chr,Q4039395,https://chr.wikipedia.org/wiki/Wikipedia:Administrators,chr,Project:Administrators
ckb,Q4039395,https://ckb.wikipedia.org/wiki/%D9%88%DB%8C%DA%A9%DB%8C%D9%BE%DB%8C%D8%AF%DB%8C%D8%A7:%D8%A8%DB%95%DA%95%DB%8E%D9%88%DB%95%D8%A8%DB%95%D8%B1%D8%A7%D9%86,ckb,Project:Administrators
crh,Q4039395,https://crh.wikipedia.org/wiki/Vikipediya:%C4%B0dareciler,crh,Project:Administrators
cr,Q4039395,https://cr.wikipedia.org/wiki/Wikipedia:Administrators,cr,Project:Administrators
csb,Q4039395,https://csb.wikipedia.org/wiki/Wiki:Administratorz%C3%AB,csb,Project:Administrators
cs,Q4039395,https://cs.wikipedia.org/wiki/Wikipedie:Spr%C3%A1vci,cs,Project:Administrators
cv,Q4039395,https://cv.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8:%D0%90%D0%B4%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%BE%D1%80%D1%81%D0%B5%D0%BC,cv,Project:Administrators
cy,Q4039395,https://cy.wikipedia.org/wiki/Wicipedia:Gweinyddwyr,cy,Project:Administrators
dag,Q4039395,https://dag.wikipedia.org/wiki/Wikipedia:Administrators,dag,Project:Administrators
da,Q4039395,https://da.wikipedia.org/wiki/Wikipedia:Administratorer,da,Project:Administrators
de,Q4039395,https://de.wikipedia.org/wiki/Wikipedia:Administratoren,de,Project:Administrators
diq,Q4039395,https://diq.wikipedia.org/wiki/Wikipedia:%C4%B0darekari,diq,Project:Administrators
dsb,Q4039395,https://dsb.wikipedia.org/wiki/Wikipedija:Administratory,dsb,Project:Administrators
dv,Q4039395,https://dv.wikipedia.org/wiki/%DE%88%DE%A8%DE%86%DE%A8%DE%95%DE%A9%DE%91%DE%A8%DE%87%DE%A7:%DE%87%DE%AC%DE%91%DE%B0%DE%89%DE%A8%DE%82%DE%A8%DE%90%DE%B0%DE%93%DE%B0%DE%83%DE%AD%DE%93%DE%A6%DE%83,dv,Project:Administrators
ee,Q4039395,https://ee.wikipedia.org/wiki/Wikipedia:Administrators,ee,Project:Administrators
el,Q4039395,https://el.wikipedia.org/wiki/%CE%92%CE%B9%CE%BA%CE%B9%CF%80%CE%B1%CE%AF%CE%B4%CE%B5%CE%B9%CE%B1:%CE%94%CE%B9%CE%B1%CF%87%CE%B5%CE%B9%CF%81%CE%B9%CF%83%CF%84%CE%AD%CF%82,el,Project:Administrators
eml,Q4039395,https://eml.wikipedia.org/wiki/Wikipedia:Amministratori,egl,Project:Administrators
en,Q4039395,https://en.wikipedia.org/wiki/Wikipedia:Administrators,en,Project:Administrators
eo,Q4039395,https://eo.wikipedia.org/wiki/Vikipedio:Administrantoj,eo,Project:Administrators
es,Q4039395,https://es.wikipedia.org/wiki/Wikipedia:Bibliotecarios,es,Project:Administrators
et,Q4039395,https://et.wikipedia.org/wiki/Vikipeedia:Administraatorid,et,Project:Administrators
eu,Q4039395,https://eu.wikipedia.org/wiki/Wikipedia:Administratzaileak,eu,Project:Administrators
ext,Q4039395,https://ext.wikipedia.org/wiki/G%C3%BCiquipedia:Zahoril,ext,Project:Administrators
fa,Q4039395,https://fa.wikipedia.org/wiki/%D9%88%DB%8C%DA%A9%DB%8C%E2%80%8C%D9%BE%D8%AF%DB%8C%D8%A7:%D9%85%D8%AF%DB%8C%D8%B1%D8%A7%D9%86,fa,Project:Administrators
ff,Q4039395,https://ff.wikipedia.org/wiki/Wikipedia:Administrateurs,ff,Project:Administrators
fiu-vro,Q4039395,https://fiu-vro.wikipedia.org/wiki/Wikipedia:K%C3%B5rraldajaq,vro,Project:Administrators
fi,Q4039395,https://fi.wikipedia.org/wiki/Wikipedia:Yll%C3%A4pit%C3%A4j%C3%A4t,fi,Project:Administrators
fj,Q4039395,https://fj.wikipedia.org/wiki/Wikipedia:Administrators,fj,Project:Administrators
fo,Q4039395,https://fo.wikipedia.org/wiki/Wikipedia:Umbo%C3%B0sstj%C3%B3ri,fo,Project:Administrators
frp,Q4039395,https://frp.wikipedia.org/wiki/Vouiquip%C3%A8dia:Administrator,frp,Project:Administrators
frr,Q4039395,https://frr.wikipedia.org/wiki/Wikipedia:Administratoore,frr,Project:Administrators
fr,Q4039395,https://fr.wikipedia.org/wiki/Wikip%C3%A9dia:Administrateur,fr,Project:Administrators
fur,Q4039395,https://fur.wikipedia.org/wiki/Vichipedie:Aministrad%C3%B4rs,fur,Project:Administrators
fy,Q4039395,https://fy.wikipedia.org/wiki/Wikipedy:Behearders,fy,Project:Administrators
gag,Q4039395,https://gag.wikipedia.org/wiki/Vikipediya:%C3%96nderciler,gag,Project:Administrators
gan,Q4039395,https://gan.wikipedia.org/wiki/Wikipedia:%E7%AE%A1%E7%90%86%E5%93%A1,gan,Project:Administrators
ga,Q4039395,https://ga.wikipedia.org/wiki/Vicip%C3%A9id:Riarth%C3%B3ir%C3%AD,ga,Project:Administrators
gd,Q4039395,https://gd.wikipedia.org/wiki/Uicipeid:Administrators,gd,Project:Administrators
glk,Q4039395,https://glk.wikipedia.org/wiki/Wikipedia:%DA%A9%D9%8A%D8%A7%27%D9%86,glk,Project:Administrators
gl,Q4039395,https://gl.wikipedia.org/wiki/Wikipedia:Administradores,gl,Project:Administrators
gor,Q4039395,https://gor.wikipedia.org/wiki/Wikipedia:T%C4%81_mongurusi,gor,Project:Administrators
gpe,Q4039395,https://gpe.wikipedia.org/wiki/Wikipedia:Administrators,gpe,Project:Administrators
gu,Q4039395,https://gu.wikipedia.org/wiki/%E0%AA%B5%E0%AA%BF%E0%AA%95%E0%AA%BF%E0%AA%AA%E0%AB%80%E0%AA%A1%E0%AA%BF%E0%AA%AF%E0%AA%BE:%E0%AA%AA%E0%AB%8D%E0%AA%B0%E0%AA%AC%E0%AA%82%E0%AA%A7%E0%AA%95,gu,Project:Administrators
gv,Q4039395,https://gv.wikipedia.org/wiki/Wikipedia:Reireyderyn,gv,Project:Administrators
hak,Q4039395,https://hak.wikipedia.org/wiki/Wikipedia:K%C3%B3n-l%C3%AE-y%C3%A8n,hak,Project:Administrators
ha,Q4039395,https://ha.wikipedia.org/wiki/Wikipedia:Admin,ha,Project:Administrators
haw,Q4039395,https://haw.wikipedia.org/wiki/Wikipedia:N%C4%81_kahu,haw,Project:Administrators
he,Q4039395,https://he.wikipedia.org/wiki/%D7%95%D7%99%D7%A7%D7%99%D7%A4%D7%93%D7%99%D7%94:%D7%9E%D7%A4%D7%A2%D7%99%D7%9C_%D7%9E%D7%A2%D7%A8%D7%9B%D7%AA,he,Project:Administrators
hi,Q4039395,https://hi.wikipedia.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%95%E0%A4%BF%E0%A4%AA%E0%A5%80%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A4%BE:%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%AC%E0%A4%A8%E0%A5%8D%E0%A4%A7%E0%A4%95,hi,Project:Administrators
hr,Q4039395,https://hr.wikipedia.org/wiki/Wikipedija:Administratori,hr,Project:Administrators
hsb,Q4039395,https://hsb.wikipedia.org/wiki/Wikipedija:Administratorojo,hsb,Project:Administrators
ht,Q4039395,https://ht.wikipedia.org/wiki/Wikipedya:Administrat%C3%A8,ht,Project:Administrators
hu,Q4039395,https://hu.wikipedia.org/wiki/Wikip%C3%A9dia:Adminisztr%C3%A1torok,hu,Project:Administrators
hy,Q4039395,https://hy.wikipedia.org/wiki/%D5%8E%D5%AB%D6%84%D5%AB%D5%BA%D5%A5%D5%A4%D5%AB%D5%A1:%D4%B1%D5%A4%D5%B4%D5%AB%D5%B6%D5%AB%D5%BD%D5%BF%D6%80%D5%A1%D5%BF%D5%B8%D6%80,hy,Project:Administrators
ia,Q4039395,https://ia.wikipedia.org/wiki/Wikipedia:Administratores,ia,Project:Administrators
id,Q4039395,https://id.wikipedia.org/wiki/Wikipedia:Pengurus,id,Project:Administrators
ie,Q4039395,https://ie.wikipedia.org/wiki/Wikipedia:Administratores,ie,Project:Administrators
ig,Q4039395,https://ig.wikipedia.org/wiki/Wikipedia:Administrators,ig,Project:Administrators
ik,Q4039395,https://ik.wikipedia.org/wiki/Wikipedia:Administrators,ik,Project:Administrators
ilo,Q4039395,https://ilo.wikipedia.org/wiki/Wikipedia:Dagiti_administrador,ilo,Project:Administrators
inh,Q4039395,https://inh.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8:%D0%90%D0%B4%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%BE%D1%80%D0%B0%D1%88,inh,Project:Administrators
io,Q4039395,https://io.wikipedia.org/wiki/Wikipedio:Administranti,io,Project:Administrators
is,Q4039395,https://is.wikipedia.org/wiki/Wikipedia:M%C3%B6ppud%C3%BDr,is,Project:Administrators
it,Q4039395,https://it.wikipedia.org/wiki/Wikipedia:Amministratori,it,Project:Administrators
iu,Q4039395,https://iu.wikipedia.org/wiki/%E1%90%85%E1%90%83%E1%91%AD%E1%90%B1%E1%91%8E%E1%90%8A:%E1%91%90%E1%91%AD%E1%93%95%E1%90%85%E1%96%85%E1%90%B9,iu,Project:Administrators
jam,Q4039395,https://jam.wikipedia.org/wiki/Wikipidia:Adminischrieta,jam,Project:Administrators
ja,Q4039395,https://ja.wikipedia.org/wiki/Wikipedia:%E7%AE%A1%E7%90%86%E8%80%85,ja,Project:Administrators
jbo,Q4039395,https://jbo.wikipedia.org/wiki/uikipedi%27as:lo_admine,jbo,Project:Administrators
jv,Q4039395,https://jv.wikipedia.org/wiki/Wikip%C3%A9dia:Panata,jv,Project:Administrators
kaa,Q4039395,https://kaa.wikipedia.org/wiki/Wikipedia:Administratorlar,kaa,Project:Administrators
ka,Q4039395,https://ka.wikipedia.org/wiki/%E1%83%95%E1%83%98%E1%83%99%E1%83%98%E1%83%9E%E1%83%94%E1%83%93%E1%83%98%E1%83%90:%E1%83%90%E1%83%93%E1%83%9B%E1%83%98%E1%83%9C%E1%83%98%E1%83%A1%E1%83%A2%E1%83%A0%E1%83%90%E1%83%A2%E1%83%9D%E1%83%A0%E1%83%94%E1%83%91%E1%83%98,ka,Project:Administrators
kcg,Q4039395,https://kcg.wikipedia.org/wiki/Wukipedia:A%CC%B1yaakwak_a%CC%B1son,kcg,Project:Administrators
kg,Q4039395,https://kg.wikipedia.org/wiki/Wikipedia:Administrators,kg,Project:Administrators
ki,Q4039395,https://ki.wikipedia.org/wiki/Wikipedia:Administrators,ki,Project:Administrators
kk,Q4039395,https://kk.wikipedia.org/wiki/%D0%A3%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F:%D0%90%D0%B4%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%BE%D1%80%D0%BB%D0%B0%D1%80,kk,Project:Administrators
kl,Q4039395,https://kl.wikipedia.org/wiki/Wikipedia:Administratorit,kl,Project:Administrators
km,Q4039395,https://km.wikipedia.org/wiki/%E1%9E%9C%E1%9E%B7%E1%9E%82%E1%9E%B8%E1%9E%97%E1%9E%B8%E1%9E%8C%E1%9E%B6:%E1%9E%A2%E1%9F%92%E1%9E%93%E1%9E%80%E1%9E%A2%E1%9E%97%E1%9E%B7%E1%9E%94%E1%9E%B6%E1%9E%9B,km,Project:Administrators
kn,Q4039395,https://kn.wikipedia.org/wiki/%E0%B2%B5%E0%B2%BF%E0%B2%95%E0%B2%BF%E0%B2%AA%E0%B3%80%E0%B2%A1%E0%B2%BF%E0%B2%AF:%E0%B2%A8%E0%B2%BF%E0%B2%B0%E0%B3%8D%E0%B2%B5%E0%B2%BE%E0%B2%B9%E0%B2%95%E0%B2%B0%E0%B3%81,kn,Project:Administrators
ko,Q4039395,https://ko.wikipedia.org/wiki/%EC%9C%84%ED%82%A4%EB%B0%B1%EA%B3%BC:%EA%B4%80%EB%A6%AC%EC%9E%90,ko,Project:Administrators
krc,Q4039395,https://krc.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F:%D0%90%D0%B4%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%BE%D1%80%D0%BB%D0%B0,krc,Project:Administrators
ksh,Q4039395,https://ksh.wikipedia.org/wiki/Wikipedia:Wiki-K%C3%B6bes,ksh,Project:Administrators
ks,Q4039395,https://ks.wikipedia.org/wiki/%D9%88%D9%90%DA%A9%DB%8C%D9%96%D9%BE%DB%8C%D9%96%DA%88%DB%8C%D8%A7:%D8%A7%D9%90%D9%86%D8%AA%D9%90%D8%B8%D9%B2%D9%85%D8%A0,ks,Project:Administrators
ku,Q4039395,https://ku.wikipedia.org/wiki/W%C3%AEk%C3%AEpediya:R%C3%AAveber,ku,Project:Administrators
kw,Q4039395,https://kw.wikipedia.org/wiki/Wikipedia:Menystroryon,kw,Project:Administrators
ky,Q4039395,https://ky.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F:%D0%90%D0%B4%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%BE%D1%80%D0%BB%D0%BE%D1%80,ky,Project:Administrators
lad,Q4039395,https://lad.wikipedia.org/wiki/Vikipedya:Administradores,lad,Project:Administrators
la,Q4039395,https://la.wikipedia.org/wiki/Vicipaedia:Magistratus,la,Project:Administrators
lb,Q4039395,https://lb.wikipedia.org/wiki/Wikipedia:Administrateuren,lb,Project:Administrators
lez,Q4039395,https://lez.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%8F:%D0%90%D0%B4%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%BE%D1%80%D0%B0%D1%80,lez,Project:Administrators
lfn,Q4039395,https://lfn.wikipedia.org/wiki/Vicipedia:Dirijores,lfn,Project:Administrators
lg,Q4039395,https://lg.wikipedia.org/wiki/Wikipedia:Administrators,lg,Project:Administrators
lij,Q4039395,https://lij.wikipedia.org/wiki/Wikipedia:Aministrato%C3%AE,lij,Project:Administrators
li,Q4039395,https://li.wikipedia.org/wiki/Wikipedia:Systeemw%C3%A8rkers,li,Project:Administrators
lld,Q4039395,https://lld.wikipedia.org/wiki/Wikipedia:Aministrad%C3%ABures,lld,Project:Administrators
lmo,Q4039395,https://lmo.wikipedia.org/wiki/Wikipedia:Aministradur,lmo,Project:Administrators
ln,Q4039395,https://ln.wikipedia.org/wiki/Wikipedia:Moy%C3%A1ngeli,ln,Project:Administrators
lo,Q4039395,https://lo.wikipedia.org/wiki/%E0%BA%A7%E0%BA%B4%E0%BA%81%E0%BA%B4%E0%BA%9E%E0%BA%B5%E0%BB%80%E0%BA%94%E0%BA%8D:%E0%BA%9C%E0%BA%B9%E0%BB%89%E0%BA%94%E0%BA%B9%E0%BB%81%E0%BA%A5%E0%BA%A5%E0%BA%B0%E0%BA%9A%E0%BA%BB%E0%BA%9A,lo,Project:Administrators
ltg,Q4039395,https://ltg.wikipedia.org/wiki/Vikipedeja:Administraceja,ltg,Project:Administrators
lt,Q4039395,https://lt.wikipedia.org/wiki/Vikipedija:Administratoriai,lt,Project:Administrators
lv,Q4039395,https://lv.wikipedia.org/wiki/Vikip%C4%93dija:Administratori,lv,Project:Administrators
mad,Q4039395,https://mad.wikipedia.org/wiki/Wikip%C3%A8%E1%B8%8Dia:Pangoros,mad,Project:Administrators
mai,Q4039395,https://mai.wikipedia.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%95%E0%A4%BF%E0%A4%AA%E0%A4%BF%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A4%BE:%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%AC%E0%A4%A8%E0%A5%8D%E0%A4%A7%E0%A4%95,mai,Project:Administrators
map-bms,Q4039395,https://map-bms.wikipedia.org/wiki/Wikipedia:Pangurus,jv-x-bms,Project:Administrators
mdf,Q4039395,https://mdf.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D0%B5%D1%81%D1%8C:%D0%A1%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D0%BE%D0%BD%D1%8C_%D0%B2%D1%8F%D1%82%D0%B8%D0%BA%D1%81%D0%BD%D0%B5,mdf,Project:Administrators
mg,Q4039395,https://mg.wikipedia.org/wiki/Wikipedia:Mpandrindra,mg,Project:Administrators
mhr,Q4039395,https://mhr.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D0%B9:%D0%A1%D0%B0%D0%B9%D1%82%D0%B2%D0%B8%D0%BA%D1%82%D0%B0%D1%80%D1%8B%D1%88%D0%B5-%D0%B2%D0%BB%D0%B0%D0%BA,mhr,Project:Administrators
min,Q4039395,https://min.wikipedia.org/wiki/Wikipedia:Panguruih,min,Project:Administrators
mi,Q4039395,https://mi.wikipedia.org/wiki/Wikipedia:Kaiwhakahaere,mi,Project:Administrators
mk,Q4039395,https://mk.wikipedia.org/wiki/%D0%92%D0%B8%D0%BA%D0%B8%D0%BF%D0%B5%D0%B4%D0%B8%D1%98%D0%B0:%D0%90%D0%B4%D0%BC%D0%B8%D0%BD%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%82%D0%BE%D1%80%D0%B8,mk,Project:Administrators
